Species,Island,Clutch Completion,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo)
Adelie penguin,Dream,Yes,A,D,B,B,FEMALE,A,A
Adelie penguin,Dream,Yes,B,D,C,C,MALE,B,C
Adelie penguin,Dream,Yes,A,B,A,A,FEMALE,D,B
Adelie penguin,Dream,Yes,C,D,B,C,MALE,D,C
Adelie penguin,Biscoe,Yes,A,C,B,B,FEMALE,C,B
Adelie penguin,Biscoe,Yes,B,E,C,D,MALE,D,B
Adelie penguin,Biscoe,Yes,A,B,A,A,FEMALE,D,B
Adelie penguin,Biscoe,Yes,A,E,B,C,MALE,E,C
Adelie penguin,Biscoe,Yes,A,D,B,A,FEMALE,D,C
Adelie penguin,Biscoe,Yes,B,D,A,B,MALE,D,C
Adelie penguin,Biscoe,Yes,B,C,C,B,FEMALE,C,A
Adelie penguin,Biscoe,Yes,A,E,B,C,MALE,E,C
Adelie penguin,Biscoe,Yes,A,C,A,A,FEMALE,E,D
Adelie penguin,Biscoe,Yes,C,E,C,D,MALE,E,D
Adelie penguin,Biscoe,Yes,A,B,C,C,FEMALE,B,A
Adelie penguin,Biscoe,Yes,C,E,B,D,MALE,C,B
Adelie penguin,Biscoe,Yes,B,C,B,A,FEMALE,D,C
Adelie penguin,Biscoe,Yes,C,E,C,C,MALE,C,B
Adelie penguin,Biscoe,Yes,B,E,B,C,FEMALE,C,A
Adelie penguin,Biscoe,Yes,C,D,C,C,MALE,D,B
Adelie penguin,Torgersen,Yes,B,C,A,A,FEMALE,D,C
Adelie penguin,Torgersen,Yes,A,E,C,B,MALE,E,B
Adelie penguin,Torgersen,Yes,A,C,A,A,FEMALE,D,E
Adelie penguin,Torgersen,Yes,B,D,A,A,MALE,E,B
Adelie penguin,Torgersen,No,A,C,A,A,FEMALE,D,B
Adelie penguin,Torgersen,No,A,E,C,A,MALE,D,B
Adelie penguin,Torgersen,Yes,B,C,A,A,FEMALE,E,C
Adelie penguin,Torgersen,Yes,B,D,C,C,MALE,E,D
Adelie penguin,Torgersen,Yes,A,B,A,A,FEMALE,C,C
Adelie penguin,Torgersen,Yes,B,E,C,C,MALE,D,C
Adelie penguin,Torgersen,Yes,B,C,B,A,FEMALE,D,C
Adelie penguin,Torgersen,Yes,B,D,B,C,MALE,C,C
Adelie penguin,Torgersen,Yes,B,C,B,A,FEMALE,D,C
Adelie penguin,Torgersen,No,A,C,B,A,FEMALE,D,C
Adelie penguin,Torgersen,No,C,E,C,A,MALE,D,B
Adelie penguin,Dream,Yes,A,D,B,A,FEMALE,D,C
Adelie penguin,Dream,Yes,A,D,C,D,MALE,C,A
Adelie penguin,Dream,Yes,A,C,A,A,FEMALE,C,C
Adelie penguin,Dream,Yes,B,C,B,C,MALE,D,C
Adelie penguin,Dream,Yes,A,C,B,A,FEMALE,C,C
Adelie penguin,Dream,Yes,B,E,C,C,MALE,D,B
Adelie penguin,Dream,No,A,B,A,A,FEMALE,C,C
Adelie penguin,Dream,No,B,C,B,C,MALE,D,C
Adelie penguin,Dream,Yes,B,C,B,A,FEMALE,E,C
Adelie penguin,Dream,Yes,B,C,A,A,MALE,D,C
Adelie penguin,Dream,Yes,A,B,A,A,FEMALE,C,A
Adelie penguin,Dream,Yes,B,C,B,B,MALE,D,C
Adelie penguin,Dream,Yes,A,C,B,A,FEMALE,D,C
Adelie penguin,Dream,Yes,B,D,A,B,MALE,D,C
Adelie penguin,Dream,Yes,B,D,B,C,MALE,D,C
Adelie penguin,Dream,Yes,A,D,A,A,FEMALE,C,C
Adelie penguin,Dream,Yes,A,C,B,A,FEMALE,D,C
Adelie penguin,Dream,Yes,A,D,B,B,MALE,D,C
Adelie penguin,Dream,Yes,A,C,A,B,FEMALE,D,C
Adelie penguin,Dream,Yes,B,D,C,C,MALE,D,C
Chinstrap penguin,Dream,No,D,C,B,A,FEMALE,D,E
Chinstrap penguin,Dream,No,E,E,C,C,MALE,D,E
Chinstrap penguin,Dream,Yes,E,E,B,B,MALE,E,E
Chinstrap penguin,Dream,Yes,C,D,A,B,FEMALE,C,E
Chinstrap penguin,Dream,Yes,E,E,C,B,MALE,D,E
Chinstrap penguin,Dream,Yes,C,C,C,C,FEMALE,D,E
Chinstrap penguin,Dream,Yes,D,D,A,A,FEMALE,D,E
Chinstrap penguin,Dream,Yes,E,D,C,B,MALE,C,E
Chinstrap penguin,Dream,Yes,C,D,B,C,FEMALE,B,E
Chinstrap penguin,Dream,Yes,E,E,C,B,MALE,C,E
Chinstrap penguin,Dream,Yes,D,C,B,B,FEMALE,D,E
Chinstrap penguin,Dream,Yes,E,E,B,B,MALE,C,E
Chinstrap penguin,Dream,Yes,D,C,A,B,FEMALE,C,E
Chinstrap penguin,Dream,Yes,E,D,C,C,MALE,D,E
Chinstrap penguin,Dream,Yes,C,C,B,B,FEMALE,D,D
Chinstrap penguin,Dream,Yes,E,E,C,C,MALE,E,E
Chinstrap penguin,Dream,No,E,E,C,A,MALE,E,E
Chinstrap penguin,Dream,No,E,C,A,B,FEMALE,D,E
Chinstrap penguin,Dream,Yes,D,D,B,A,FEMALE,E,E
Chinstrap penguin,Dream,Yes,D,D,B,D,MALE,E,E
Chinstrap penguin,Dream,Yes,C,C,A,B,FEMALE,E,E
Chinstrap penguin,Dream,Yes,D,C,B,A,MALE,E,E
Chinstrap penguin,Dream,No,C,B,A,A,FEMALE,E,D
Chinstrap penguin,Dream,No,E,E,B,B,MALE,E,D
Chinstrap penguin,Dream,No,D,C,B,A,FEMALE,E,E
Chinstrap penguin,Dream,No,E,E,C,C,MALE,E,E
Chinstrap penguin,Dream,No,E,E,C,B,MALE,E,E
Chinstrap penguin,Dream,Yes,D,C,B,B,FEMALE,E,E
Chinstrap penguin,Dream,Yes,E,E,D,D,MALE,D,E
Chinstrap penguin,Dream,Yes,B,B,A,A,FEMALE,D,E
Chinstrap penguin,Dream,Yes,E,E,C,C,MALE,E,E
Chinstrap penguin,Dream,Yes,C,C,A,A,FEMALE,E,E
Chinstrap penguin,Dream,Yes,E,D,C,C,MALE,D,E
Chinstrap penguin,Dream,Yes,E,D,B,B,MALE,E,E
Chinstrap penguin,Dream,Yes,D,D,B,C,FEMALE,C,E
Chinstrap penguin,Dream,No,E,E,D,D,MALE,E,D
Chinstrap penguin,Dream,Yes,D,E,D,C,MALE,E,E
Chinstrap penguin,Dream,Yes,D,C,A,B,FEMALE,E,E
Chinstrap penguin,Dream,Yes,E,E,C,B,MALE,E,E
Chinstrap penguin,Dream,Yes,C,C,C,A,FEMALE,E,E
Chinstrap penguin,Dream,Yes,E,C,C,B,FEMALE,E,E
Chinstrap penguin,Dream,Yes,E,D,C,D,MALE,E,E
Chinstrap penguin,Dream,Yes,E,C,B,A,FEMALE,E,E
Chinstrap penguin,Dream,Yes,D,E,D,C,MALE,E,E
Chinstrap penguin,Dream,Yes,E,D,A,A,MALE,E,E
Chinstrap penguin,Dream,Yes,E,C,C,B,FEMALE,E,E
Chinstrap penguin,Dream,Yes,D,B,C,A,FEMALE,E,E
Chinstrap penguin,Dream,Yes,E,E,C,C,MALE,E,E
Chinstrap penguin,Dream,Yes,C,C,B,B,FEMALE,E,E
Chinstrap penguin,Dream,Yes,E,E,C,C,MALE,E,E
Chinstrap penguin,Dream,Yes,C,C,A,A,FEMALE,E,E
Chinstrap penguin,Dream,Yes,E,D,C,A,MALE,E,E
Chinstrap penguin,Dream,Yes,C,B,B,A,FEMALE,E,E
Chinstrap penguin,Dream,Yes,D,E,C,C,MALE,E,E
Chinstrap penguin,Dream,Yes,E,D,C,B,MALE,E,E
Chinstrap penguin,Dream,Yes,C,E,B,B,FEMALE,E,E
Chinstrap penguin,Dream,Yes,D,B,A,B,FEMALE,E,E
Chinstrap penguin,Dream,Yes,C,C,B,B,FEMALE,E,E
Chinstrap penguin,Dream,Yes,E,E,D,C,MALE,E,E
Chinstrap penguin,Dream,No,C,D,C,A,FEMALE,E,E
Chinstrap penguin,Dream,No,E,D,B,B,MALE,E,E
Chinstrap penguin,Dream,Yes,E,E,D,C,MALE,E,E
Chinstrap penguin,Dream,Yes,E,D,C,B,FEMALE,E,E
Gentoo penguin,Biscoe,Yes,D,A,D,D,FEMALE,A,C
Gentoo penguin,Biscoe,Yes,E,B,E,E,MALE,A,D
Gentoo penguin,Biscoe,Yes,D,A,D,D,FEMALE,A,D
Gentoo penguin,Biscoe,Yes,E,B,E,E,MALE,B,D
Gentoo penguin,Biscoe,Yes,D,A,D,E,MALE,A,C
Gentoo penguin,Biscoe,Yes,D,A,D,D,FEMALE,A,D
Gentoo penguin,Biscoe,Yes,C,A,D,D,FEMALE,B,D
Gentoo penguin,Biscoe,Yes,D,B,E,E,MALE,A,D
Gentoo penguin,Biscoe,Yes,C,A,D,D,FEMALE,A,D
Gentoo penguin,Biscoe,Yes,D,B,D,E,MALE,A,D
Gentoo penguin,Biscoe,No,B,A,D,D,FEMALE,A,D
Gentoo penguin,Biscoe,No,D,B,E,E,MALE,A,D
Gentoo penguin,Biscoe,Yes,C,A,D,D,FEMALE,A,D
Gentoo penguin,Biscoe,Yes,D,A,D,E,MALE,A,D
Gentoo penguin,Biscoe,Yes,C,A,D,C,FEMALE,A,C
Gentoo penguin,Biscoe,Yes,D,B,E,E,MALE,A,C
Gentoo penguin,Biscoe,Yes,B,A,D,C,FEMALE,A,C
Gentoo penguin,Biscoe,Yes,D,B,E,E,MALE,B,D
Gentoo penguin,Biscoe,Yes,D,A,D,D,FEMALE,A,D
Gentoo penguin,Biscoe,Yes,D,B,E,E,MALE,A,D
Gentoo penguin,Biscoe,Yes,E,A,E,E,MALE,A,D
Gentoo penguin,Biscoe,Yes,C,A,D,E,FEMALE,A,D
Gentoo penguin,Biscoe,Yes,D,A,D,D,FEMALE,A,D
Gentoo penguin,Biscoe,Yes,D,B,D,E,MALE,A,D
Gentoo penguin,Biscoe,Yes,C,A,D,E,FEMALE,A,D
Gentoo penguin,Biscoe,Yes,D,B,D,E,MALE,A,D
Gentoo penguin,Biscoe,Yes,C,A,E,C,FEMALE,A,C
Gentoo penguin,Biscoe,Yes,D,A,D,E,MALE,A,D
Gentoo penguin,Biscoe,Yes,D,A,D,D,FEMALE,A,C
Gentoo penguin,Biscoe,Yes,E,B,E,E,MALE,B,D
Gentoo penguin,Biscoe,Yes,C,A,D,D,FEMALE,A,D
Gentoo penguin,Biscoe,Yes,C,A,D,E,FEMALE,A,C
Gentoo penguin,Biscoe,Yes,D,A,E,E,FEMALE,A,A
Gentoo penguin,Biscoe,Yes,D,B,E,E,MALE,A,A
Gentoo penguin,Biscoe,Yes,C,A,D,D,FEMALE,A,A
Gentoo penguin,Biscoe,Yes,C,C,E,E,MALE,A,A
Gentoo penguin,Biscoe,Yes,C,A,D,C,FEMALE,A,A
Gentoo penguin,Biscoe,Yes,D,B,D,E,MALE,A,A
Gentoo penguin,Biscoe,No,C,A,D,C,FEMALE,A,A
Gentoo penguin,Biscoe,No,E,B,E,E,MALE,B,A
Gentoo penguin,Biscoe,Yes,C,A,D,C,FEMALE,B,A
Gentoo penguin,Biscoe,Yes,E,A,E,D,MALE,B,A
Gentoo penguin,Biscoe,Yes,E,B,E,E,MALE,B,A
Gentoo penguin,Biscoe,Yes,C,A,E,D,FEMALE,B,A
Gentoo penguin,Biscoe,No,C,A,D,C,FEMALE,B,A
Gentoo penguin,Biscoe,No,E,B,E,E,MALE,C,A
Gentoo penguin,Biscoe,Yes,C,A,D,E,FEMALE,B,A
Gentoo penguin,Biscoe,Yes,C,B,D,E,MALE,C,A
Gentoo penguin,Biscoe,Yes,D,A,D,D,FEMALE,B,A
Gentoo penguin,Biscoe,Yes,D,A,E,E,MALE,B,A
Gentoo penguin,Biscoe,Yes,C,A,D,D,FEMALE,C,A
Gentoo penguin,Biscoe,Yes,E,A,E,E,MALE,C,A
Gentoo penguin,Biscoe,Yes,D,A,E,D,FEMALE,B,A
Gentoo penguin,Biscoe,Yes,C,B,E,E,MALE,C,A
Gentoo penguin,Biscoe,Yes,C,A,D,C,FEMALE,C,A
Gentoo penguin,Biscoe,Yes,C,A,E,E,MALE,C,A
Gentoo penguin,Biscoe,Yes,C,A,D,D,FEMALE,B,A
Gentoo penguin,Biscoe,Yes,E,B,E,E,MALE,C,A
Gentoo penguin,Biscoe,Yes,C,A,D,C,FEMALE,C,A
Gentoo penguin,Biscoe,Yes,D,A,E,E,MALE,C,A
Gentoo penguin,Biscoe,Yes,C,A,D,D,FEMALE,C,A
Gentoo penguin,Biscoe,Yes,E,B,E,E,MALE,B,A
Gentoo penguin,Biscoe,Yes,C,A,E,D,FEMALE,C,A
Gentoo penguin,Biscoe,Yes,E,C,E,E,MALE,B,A
Gentoo penguin,Biscoe,Yes,D,A,D,D,FEMALE,B,A
Gentoo penguin,Biscoe,Yes,E,B,E,E,MALE,C,A
Gentoo penguin,Biscoe,Yes,C,A,E,D,FEMALE,C,A
Gentoo penguin,Biscoe,Yes,E,A,E,E,MALE,C,A
Gentoo penguin,Biscoe,Yes,D,A,E,D,FEMALE,C,A
Gentoo penguin,Biscoe,Yes,D,B,E,E,MALE,B,A
Gentoo penguin,Biscoe,Yes,D,B,E,E,MALE,B,A
Gentoo penguin,Biscoe,Yes,D,A,E,E,FEMALE,C,A
Gentoo penguin,Biscoe,Yes,D,A,E,D,FEMALE,B,A
Gentoo penguin,Biscoe,Yes,D,B,E,E,MALE,C,A
Gentoo penguin,Biscoe,Yes,D,A,D,D,FEMALE,B,A
Gentoo penguin,Biscoe,Yes,E,B,E,E,MALE,B,A
Gentoo penguin,Biscoe,Yes,C,A,D,D,FEMALE,B,A
Gentoo penguin,Biscoe,Yes,C,B,E,E,MALE,A,A
Gentoo penguin,Biscoe,Yes,D,A,D,D,FEMALE,B,B
Gentoo penguin,Biscoe,Yes,E,B,E,E,MALE,B,B
Gentoo penguin,Biscoe,Yes,D,A,D,D,FEMALE,A,B
Gentoo penguin,Biscoe,Yes,E,B,E,E,MALE,A,B
Gentoo penguin,Biscoe,Yes,C,A,D,D,FEMALE,A,B
Gentoo penguin,Biscoe,Yes,E,C,E,E,MALE,B,B
Gentoo penguin,Biscoe,Yes,C,A,E,D,FEMALE,A,B
Gentoo penguin,Biscoe,Yes,E,A,E,E,MALE,A,B
Gentoo penguin,Biscoe,Yes,D,A,D,D,FEMALE,A,B
Gentoo penguin,Biscoe,Yes,E,C,E,E,MALE,B,B
Gentoo penguin,Biscoe,Yes,D,A,E,D,FEMALE,B,C
Gentoo penguin,Biscoe,Yes,E,C,E,E,MALE,B,C
Gentoo penguin,Biscoe,Yes,C,A,D,D,FEMALE,A,B
Gentoo penguin,Biscoe,Yes,E,B,E,E,MALE,C,C
Gentoo penguin,Biscoe,Yes,C,A,D,D,FEMALE,A,B
Gentoo penguin,Biscoe,Yes,E,B,E,E,MALE,B,B
Gentoo penguin,Biscoe,Yes,E,B,E,D,MALE,A,C
Gentoo penguin,Biscoe,Yes,D,A,E,D,FEMALE,A,C
Gentoo penguin,Biscoe,Yes,D,A,C,D,FEMALE,A,B
Gentoo penguin,Biscoe,Yes,E,B,E,E,MALE,A,B
Gentoo penguin,Biscoe,Yes,D,A,E,D,FEMALE,A,B
Gentoo penguin,Biscoe,Yes,E,C,E,E,MALE,B,B
Gentoo penguin,Biscoe,Yes,D,B,D,D,FEMALE,B,B
Gentoo penguin,Biscoe,Yes,D,A,E,E,MALE,C,C
Gentoo penguin,Biscoe,Yes,D,A,E,D,FEMALE,B,B
Gentoo penguin,Biscoe,Yes,D,B,D,E,MALE,B,C
Gentoo penguin,Biscoe,Yes,B,A,D,D,FEMALE,A,A
Gentoo penguin,Biscoe,Yes,E,B,E,E,MALE,B,B
Gentoo penguin,Biscoe,Yes,C,A,D,D,FEMALE,B,B
Gentoo penguin,Biscoe,Yes,D,B,D,E,MALE,B,B
Gentoo penguin,Biscoe,Yes,E,B,E,E,FEMALE,B,B
Gentoo penguin,Biscoe,Yes,E,B,E,E,MALE,B,B
Gentoo penguin,Biscoe,Yes,C,B,D,D,FEMALE,A,B
Gentoo penguin,Biscoe,Yes,E,B,E,E,MALE,C,C
Gentoo penguin,Biscoe,Yes,D,A,E,D,FEMALE,B,C
Gentoo penguin,Biscoe,Yes,E,B,E,E,MALE,A,B
Gentoo penguin,Biscoe,Yes,C,B,E,D,FEMALE,A,B
Gentoo penguin,Biscoe,Yes,D,B,E,E,MALE,B,C
Gentoo penguin,Biscoe,No,D,A,D,D,FEMALE,A,B
Gentoo penguin,Biscoe,Yes,D,A,D,D,FEMALE,B,B
Gentoo penguin,Biscoe,Yes,E,B,E,E,MALE,B,C
Gentoo penguin,Biscoe,Yes,C,A,D,E,FEMALE,A,B
Gentoo penguin,Biscoe,Yes,E,B,D,E,MALE,B,B
